Date,CUSIP,Type,Name,MV%
2021-06-14,002824100,BUY,Abbott Laboratories,-0.009836684723194499
2021-06-14,024013104,BUY,"American Assets Trust, Inc.",-0.0011231508966619262
2021-06-14,025537101,SELL,"American Electric Power Company, Inc.",0.010362174420135938
2021-06-14,032095101,BUY,Amphenol Corporation Class A,-0.004973898162191181
2021-06-14,053484101,BUY,"AvalonBay Communities, Inc.",-0.0008033002048450808
2021-06-14,097023105,BUY,Boeing Company,-0.009979061820871767
2021-06-14,125896100,SELL,CMS Energy Corporation,0.009912901459497572
2021-06-14,22052L104,BUY,Corteva Inc,-0.006284541222000778
2021-06-14,22052L104,SELL,Corteva Inc,0.0013348388491121596
2021-06-14,254709108,SELL,Discover Financial Services,0.002284788220683241
2021-06-14,28176E108,BUY,Edwards Lifesciences Corporation,-0.00416167576004078
2021-06-14,313747206,BUY,Federal Realty Investment Trust,-0.0034278880415461862
2021-06-14,337738108,SELL,"Fiserv, Inc.",0.00355404639920658
2021-06-14,47215P106,SELL,"JD.com, Inc. Sponsored ADR Class A",0.004480077224894191
2021-06-14,539439109,BUY,Lloyds Banking Group plc Sponsored ADR,-0.004918361264557643
2021-06-14,G5960L103,SELL,Medtronic Plc,0.004659176473627535
2021-06-14,68622V106,SELL,Organon & Co,0.00034242082652564216
2021-06-14,693718108,SELL,PACCAR Inc,0.005147893611618515
2021-06-14,701094104,BUY,Parker-Hannifin Corporation,-0.005594948624904146
2021-06-14,74834L100,SELL,Quest Diagnostics Incorporated,0.0064442586353448805
2021-06-14,844741108,SELL,Southwest Airlines Co.,0.0029611235415578432
2021-06-14,848577102,SELL,"Spirit Airlines, Inc.",0.003012980662901617
2021-06-14,872540109,SELL,TJX Companies Inc,0.0037873845422931682
2021-06-14,883556102,BUY,Thermo Fisher Scientific Inc.,-0.006501736236912062
